id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_penduduk,satuan,tahun
219,32,JAWA BARAT,3207,KABUPATEN CIAMIS,65-69,LAKI-LAKI,25883,JIWA,2021
220,32,JAWA BARAT,3207,KABUPATEN CIAMIS,65-69,PEREMPUAN,25799,JIWA,2021
221,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70-74,LAKI-LAKI,16551,JIWA,2021
222,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70-74,PEREMPUAN,17580,JIWA,2021
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,> 75,LAKI-LAKI,18083,JIWA,2021
224,32,JAWA BARAT,3207,KABUPATEN CIAMIS,> 75,PEREMPUAN,21259,JIWA,2021
225,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,00-04,LAKI-LAKI,47714,JIWA,2021
226,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,00-04,PEREMPUAN,44042,JIWA,2021
227,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,05-09,LAKI-LAKI,50411,JIWA,2021
228,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,05-09,PEREMPUAN,47701,JIWA,2021
229,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10-14,LAKI-LAKI,52692,JIWA,2021
230,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10-14,PEREMPUAN,48670,JIWA,2021
231,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15-19,LAKI-LAKI,43088,JIWA,2021
232,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15-19,PEREMPUAN,41988,JIWA,2021
233,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20-24,LAKI-LAKI,49395,JIWA,2021
234,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20-24,PEREMPUAN,46807,JIWA,2021
235,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25-29,LAKI-LAKI,47845,JIWA,2021
236,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25-29,PEREMPUAN,44191,JIWA,2021
237,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,30-34,LAKI-LAKI,42164,JIWA,2021
